hardware,embedding_index,horizon,pomdp_build_time,probability,solver_time,algorithm_index
algiers,0,2,0.003830,0.666662,0.000000,0
algiers,0,3,0.003830,0.748721,0.000000,1
algiers,0,4,0.003830,0.748733,0.000000,2
algiers,0,5,0.003830,0.749927,1.000000,3
algiers,1,2,0.003600,0.665903,0.000000,4
algiers,1,3,0.003600,0.733125,0.000000,5
algiers,1,4,0.003600,0.734578,0.000000,6
algiers,1,5,0.003600,0.747146,0.000000,7
almaden,0,2,0.002535,0.666615,0.000000,8
almaden,0,3,0.002535,0.745919,0.000000,9
almaden,0,4,0.002535,0.746033,0.000000,10
almaden,0,5,0.002535,0.749712,1.000000,11
almaden,1,2,0.002536,0.636667,0.000000,12
almaden,1,3,0.002536,0.656602,0.000000,13
almaden,1,4,0.002536,0.673457,0.000000,14
almaden,1,5,0.002536,0.695853,0.000000,15
athens,0,2,0.003630,0.666644,0.000000,16
athens,0,3,0.003630,0.747280,0.000000,17
athens,0,4,0.003630,0.747333,0.000000,18
athens,0,5,0.003630,0.749827,1.000000,19
athens,1,2,0.003723,0.666529,0.000000,20
athens,1,3,0.003723,0.743282,0.000000,21
athens,1,4,0.003723,0.743573,0.000000,22
athens,1,5,0.003723,0.749452,0.000000,23
auckland,0,2,0.003558,0.666660,0.000000,24
auckland,0,3,0.003558,0.748532,0.000000,25
auckland,0,4,0.003558,0.748547,0.000000,26
auckland,0,5,0.003558,0.749914,1.000000,27
auckland,1,2,0.003550,0.666582,0.000000,28
auckland,1,3,0.003550,0.744737,0.000000,29
auckland,1,4,0.003550,0.744921,0.000000,30
auckland,1,5,0.003550,0.749602,1.000000,31
belem,0,2,0.003559,0.666252,0.000000,32
belem,0,3,0.003559,0.737996,0.000000,33
belem,0,4,0.003559,0.738814,0.000000,34
belem,0,5,0.003559,0.748521,0.000000,35
belem,1,2,0.003561,0.666568,0.000000,36
belem,1,3,0.003561,0.744358,0.000000,37
belem,1,4,0.003561,0.744569,0.000000,38
belem,1,5,0.003561,0.749582,1.000000,39
boeblingen,0,2,0.002613,0.666627,0.000000,40
boeblingen,0,3,0.002613,0.746467,0.000000,41
boeblingen,0,4,0.002613,0.746555,0.000000,42
boeblingen,0,5,0.002613,0.749802,1.000000,43
boeblingen,1,2,0.002584,0.653650,0.000000,44
boeblingen,1,3,0.002584,0.674174,0.000000,45
boeblingen,1,4,0.002584,0.687312,0.000000,46
boeblingen,1,5,0.002584,0.711844,0.000000,47
bogota,0,2,0.003520,0.666494,0.000000,48
bogota,0,3,0.003520,0.742474,0.000000,49
bogota,0,4,0.003520,0.742833,0.000000,50
bogota,0,5,0.003520,0.749360,1.000000,51
bogota,1,2,0.003532,0.665868,0.000000,52
bogota,1,3,0.003532,0.732688,0.000000,53
bogota,1,4,0.003532,0.734204,0.000000,54
bogota,1,5,0.003532,0.747003,0.000000,55
brisbane,0,2,0.003648,0.630249,0.000000,56
brisbane,0,3,0.003648,0.640973,0.000000,57
brisbane,0,4,0.003648,0.659105,0.000000,58
brisbane,0,5,0.003648,0.661541,0.000000,59
brisbane,1,2,0.003745,0.666660,0.000000,60
brisbane,1,3,0.003745,0.748508,0.000000,61
brisbane,1,4,0.003745,0.748524,0.000000,62
brisbane,1,5,0.003745,0.749919,0.000000,63
brooklyn,0,2,0.003598,0.666631,0.000000,64
brooklyn,0,3,0.003598,0.746652,0.000000,65
brooklyn,0,4,0.003598,0.746731,0.000000,66
brooklyn,0,5,0.003598,0.749809,1.000000,67
brooklyn,1,2,0.003825,0.664665,0.000000,68
brooklyn,1,3,0.003825,0.720556,0.000000,69
brooklyn,1,4,0.003825,0.724111,0.000000,70
brooklyn,1,5,0.003825,0.741920,0.000000,71
burlington,0,2,0.002520,0.666527,0.000000,72
burlington,0,3,0.002520,0.743222,0.000000,73
burlington,0,4,0.002520,0.743517,0.000000,74
burlington,0,5,0.002520,0.749443,0.000000,75
burlington,1,2,0.002519,0.666090,0.000000,76
burlington,1,3,0.002519,0.735562,0.000000,77
burlington,1,4,0.002519,0.736682,0.000000,78
burlington,1,5,0.002519,0.747872,0.000000,79
cairo,0,2,0.003553,0.666661,0.000000,80
cairo,0,3,0.003553,0.748632,0.000000,81
cairo,0,4,0.003553,0.748646,0.000000,82
cairo,0,5,0.003553,0.749913,1.000000,83
cairo,1,2,0.003580,0.659902,0.000000,84
cairo,1,3,0.003580,0.693613,0.000000,85
cairo,1,4,0.003580,0.702820,0.000000,86
cairo,1,5,0.003580,0.726411,0.000000,87
cambridge,0,2,0.002559,0.666600,0.000000,88
cambridge,0,3,0.002559,0.745357,0.000000,89
cambridge,0,4,0.002559,0.745502,0.000000,90
cambridge,0,5,0.002559,0.749661,1.000000,91
cambridge,1,2,0.002742,0.555000,0.000000,92
cambridge,1,3,0.002742,0.573125,0.000000,93
cambridge,1,4,0.002742,0.581169,0.000000,94
cambridge,1,5,0.002742,0.589951,0.000000,95
casablanca,0,2,0.003575,0.666619,0.000000,96
casablanca,0,3,0.003575,0.745973,0.000000,97
casablanca,0,4,0.003575,0.746082,0.000000,98
casablanca,0,5,0.003575,0.749614,1.000000,99
casablanca,1,2,0.003587,0.666414,0.000000,100
casablanca,1,3,0.003587,0.740730,0.000000,101
casablanca,1,4,0.003587,0.741249,0.000000,102
casablanca,1,5,0.003587,0.749020,1.000000,103
cusco,0,2,0.003771,0.666655,0.000000,104
cusco,0,3,0.003771,0.748067,0.000000,105
cusco,0,4,0.003771,0.748095,0.000000,106
cusco,0,5,0.003771,0.749910,1.000000,107
cusco,1,2,0.003698,0.500976,0.000000,108
cusco,1,3,0.003698,0.500977,0.000000,109
cusco,1,4,0.003698,0.501464,0.000000,110
cusco,1,5,0.003698,0.501465,0.000000,111
essex,0,2,0.002567,0.666444,0.000000,112
essex,0,3,0.002567,0.741235,0.000000,113
essex,0,4,0.002567,0.741701,0.000000,114
essex,0,5,0.002567,0.749040,1.000000,115
essex,1,2,0.002519,0.665891,0.000000,116
essex,1,3,0.002519,0.732989,0.000000,117
